CustomerID,Recency,Frequency,Monetary,Country,Cluster,R_Score,F_Score,M_Score,RFM_Segment
12536,43,3,12601.830000000002,France,1,3,3,4,334
12538,29,1,363.95,Spain,0,3,1,2,312
12539,22,4,5568.35,Spain,1,3,3,4,334
12540,20,17,13400.24,Spain,2,3,4,4,344
12541,30,3,981.18,Spain,1,3,3,3,333
12544,36,1,372.7,Spain,0,3,1,2,312
12545,75,2,1000.39,Spain,1,2,2,3,223
12546,47,2,1161.5,Spain,1,3,2,3,323
12547,198,2,207.8,Spain,3,1,2,1,121
12548,166,1,95.19999999999999,Spain,3,1,1,1,111
12550,79,1,964.83,Spain,3,2,1,3,213
12551,358,1,168.0,Spain,3,1,1,1,111
12552,39,2,437.82,Italy,0,3,2,2,322
12553,8,10,3692.28,France,2,4,4,4,444
12556,50,2,599.56,Spain,1,3,2,2,322
12557,16,5,11990.960000000001,Spain,2,4,3,4,434
12558,8,1,269.96,USA,0,4,1,1,411
12559,311,2,561.71,Germany,3,1,2,2,122
12560,5,3,2134.01,Germany,0,4,3,4,434
12561,303,1,238.85,Germany,3,1,1,1,111
12562,8,7,3781.7400000000002,France,2,4,4,4,444
12564,261,1,456.90000000000003,France,3,1,1,2,112
12565,289,1,145.92000000000002,Saudi Arabia,3,1,1,1,111
12566,86,1,351.65,Germany,3,2,1,2,212
12567,23,10,9401.28,France,2,3,4,4,344
12569,2,32,4124.6900000000005,Germany,2,4,4,4,444
12571,40,2,519.61,France,0,3,2,2,322
12572,9,2,1020.4200000000001,Germany,0,4,2,3,423
12573,227,1,160.54000000000002,France,3,1,1,1,111
12574,316,1,218.45000000000002,France,3,1,1,1,111
12576,36,5,1315.83,Poland,1,3,3,3,333
12577,35,3,626.6,France,1,3,3,2,332
12578,21,2,2794.51,Italy,1,3,2,4,324
12579,78,1,440.42,France,3,2,1,2,212
12580,247,1,415.7,Germany,3,1,1,2,112
12581,40,1,197.71,Germany,3,3,1,1,311
12582,239,2,511.36,Finland,3,1,2,2,122
12583,3,15,7281.38,France,2,4,4,4,444
12584,4,9,2338.15,Italy,2,4,4,4,444
12585,234,2,2040.1,Germany,1,1,2,4,124
12586,17,1,196.94000000000003,Italy,0,4,1,1,411
12587,8,1,144.0,Finland,0,4,1,1,411
12588,39,1,214.89999999999998,Finland,3,3,1,1,311
12589,29,2,646.68,France,0,3,2,2,322
12590,211,2,9864.26,Germany,1,1,2,4,124
12591,317,1,452.84999999999997,Italy,3,1,1,2,112
12592,92,2,437.6,Germany,3,2,2,2,222
12593,109,3,418.1,France,3,2,3,2,232
12594,38,10,3338.2200000000003,Italy,2,3,4,4,344
12596,51,2,618.27,Spain,1,3,2,2,322
12597,19,4,3811.22,Spain,1,3,3,4,334
12598,10,8,3023.08,France,2,4,4,4,444
12599,29,7,1032.58,France,1,3,4,3,343
12600,29,10,2599.04,Germany,2,3,4,4,344
12601,190,5,577.0600000000001,Germany,1,1,3,2,132
12602,59,1,153.12,France,3,2,1,1,211
12603,22,1,739.1999999999999,Germany,0,3,1,3,313
12604,79,2,254.18,France,3,2,2,1,221
12607,60,1,1579.51,USA,1,2,1,3,213
12609,78,3,1126.85,Germany,1,2,3,3,233
12610,23,5,2099.54,Italy,1,3,3,4,334
12611,52,1,1193.32,Italy,1,2,1,3,213
12612,74,1,704.04,Germany,3,2,1,3,213
12613,57,5,3344.38,Germany,1,2,3,4,234
12614,278,1,315.6,Germany,3,1,1,2,112
12615,2,4,2291.19,France,2,4,3,4,434
12616,95,2,713.3,France,1,2,2,3,223
12617,29,1,352.98,France,0,3,1,2,312
12618,22,1,177.31,Italy,0,3,1,1,311
12619,16,9,3641.24,Germany,2,4,4,4,444
12620,15,3,1339.41,France,1,4,3,3,433
12621,2,20,13689.67,Germany,2,4,4,4,444
12622,232,1,180.1,Germany,3,1,1,1,111
12623,276,1,305.1,Germany,3,1,1,1,111
12624,106,2,641.13,France,3,2,2,2,222
12625,212,2,2683.82,Germany,1,1,2,4,124
12626,23,9,6620.4800000000005,Germany,2,3,4,4,344
12627,11,7,4478.53,Germany,2,4,4,4,444
12628,4,3,786.46,Germany,0,4,3,3,433
12630,10,2,1270.88,Finland,0,4,2,3,423
12631,57,1,640.5,Finland,3,2,1,2,212
12633,59,4,2163.98,Germany,1,2,3,4,234
12635,90,2,1689.18,Germany,1,2,2,4,224
12637,67,8,6002.9,France,1,2,4,4,244
12638,33,1,671.69,Sweden,0,3,1,3,313
12639,239,1,486.1,Sweden,3,1,1,2,112
12640,24,3,1174.58,France,1,3,3,3,333
12641,115,1,185.9,Sweden,3,2,1,1,211
12642,25,3,1013.26,Germany,1,3,3,3,333
12643,128,6,3344.64,France,1,2,4,4,244
12644,130,1,477.90999999999997,Germany,3,2,1,2,212
12645,34,4,1775.18,Germany,1,3,3,4,334
12646,5,2,1346.97,USA,0,4,2,3,423
12647,22,12,3722.82,Germany,2,3,4,4,344
12648,155,1,318.05,Germany,3,1,1,2,112
12649,107,3,623.51,Germany,1,2,3,2,232
12650,3,1,314.44,France,0,4,1,2,412
12651,335,1,114.0,France,3,1,1,1,111
12652,331,1,919.98,France,3,1,1,3,113
12653,149,2,2209.85,Israel,1,1,2,4,124
12654,11,5,601.98,Germany,0,4,3,2,432
12656,17,5,4051.17,France,2,4,3,4,434
12657,11,4,1643.18,France,1,4,3,3,433
12658,19,1,686.05,Germany,0,3,1,3,313
12659,30,1,91.68,France,3,3,1,1,311
12660,11,1,245.10000000000002,France,0,4,1,1,411
12662,1,11,3849.78,Germany,2,4,4,4,444
12664,8,9,4881.88,Finland,2,4,4,4,444
12665,325,1,63.0,Germany,3,1,1,1,111
12667,58,1,620.13,Finland,3,2,1,2,212
12668,12,4,3807.15,Germany,2,4,3,4,434
12669,151,3,2744.0299999999997,France,1,1,3,4,134
12670,10,5,2996.05,France,2,4,3,4,434
12672,330,1,225.9,France,3,1,1,1,111
12673,5,2,610.52,Germany,0,4,2,2,422
12674,39,4,1970.6,France,1,3,3,4,334
12676,25,6,1331.39,Sweden,1,3,4,3,343
12678,42,12,17628.46,France,2,3,4,4,344
12679,59,4,1113.02,France,1,2,3,3,233
12680,1,4,862.81,France,0,4,3,3,433
12681,15,22,13787.54,France,2,4,4,4,444
12682,4,31,12279.82,France,2,4,4,4,444
12683,4,15,8476.57,France,2,4,4,4,444
12684,8,7,2283.63,France,2,4,4,4,444
12685,28,6,2863.08,France,1,3,4,4,344
12686,372,1,89.14,France,3,1,1,1,111
12688,114,1,4873.81,Israel,1,2,1,4,214
12689,26,2,1247.6100000000001,France,1,3,2,3,323
12690,206,1,389.01,France,3,1,1,2,112
12691,28,6,1035.8,France,1,3,4,3,343
12693,127,4,855.91,Germany,1,2,3,3,233
12694,70,2,869.67,France,1,2,2,3,223
12695,7,4,582.1,France,0,4,3,2,432
12697,29,3,957.59,Sweden,1,3,3,3,333
12700,8,4,4939.99,France,2,4,3,4,434
12701,80,2,797.71,Germany,1,2,2,3,223
12702,20,1,219.0,Germany,0,3,1,1,311
12703,71,1,283.55,Germany,3,2,1,1,211
12704,7,8,2340.84,Finland,2,4,4,4,444
12705,15,9,6868.29,Germany,2,4,4,4,444
12707,292,1,603.42,France,3,1,1,2,112
12708,30,10,2712.91,Germany,2,3,4,4,344
12709,15,15,9706.52,Germany,2,4,4,4,444
12710,97,3,1149.02,Germany,1,2,3,3,233
12712,29,13,4396.13,Germany,2,3,4,4,344
12713,1,1,848.55,Germany,0,4,1,3,413
12714,9,5,4708.86,France,2,4,3,4,434
12715,106,1,343.36,Sweden,3,2,1,2,212
12716,4,2,1053.49,France,0,4,2,3,423
12717,151,2,1030.98,Greece,1,1,2,3,123
12718,71,1,238.25,France,3,2,1,1,211
12719,5,2,644.95,France,0,4,2,2,422
12720,3,25,5781.7300000000005,Germany,2,4,4,4,444
12721,32,6,2656.13,France,1,3,4,4,344
12722,85,4,997.63,France,1,2,3,3,233
12723,4,5,725.07,France,0,4,3,3,433
12724,5,4,1031.41,France,0,4,3,3,433
12725,371,1,427.8,Italy,3,1,1,2,112
12726,28,7,2609.1,France,1,3,4,4,344
12727,11,7,3980.7000000000003,France,2,4,4,4,444
12728,71,4,836.33,France,1,2,3,3,233
12729,114,1,453.01,France,3,2,1,2,212
12731,24,12,18895.91,France,2,3,4,4,344
12732,180,1,236.26000000000002,France,3,1,1,1,111
12733,234,1,383.95,USA,3,1,1,2,112
12734,353,1,110.39999999999999,France,3,1,1,1,111
12735,315,2,779.5699999999999,France,3,1,2,3,123
12736,333,1,234.0,France,3,1,1,1,111
12738,372,1,155.35,Germany,3,1,1,1,111
12739,78,2,1013.04,United Arab Emirates,1,2,2,3,223
12740,64,1,427.6,France,3,2,1,2,212
12743,134,2,540.13,Unspecified,3,2,2,2,222
12744,52,7,21279.29,Singapore,2,2,4,4,244
12747,2,11,4196.01,United Kingdom,2,4,4,4,444
12748,1,210,33053.19,United Kingdom,2,4,4,4,444
12749,4,5,4090.88,United Kingdom,2,4,3,4,434
12750,129,1,275.88,Poland,3,2,1,1,211
12752,81,1,4366.78,Norway,1,2,1,4,214
12753,23,6,21429.39,Japan,2,3,4,4,344
12754,236,3,3010.74,Japan,1,1,3,4,134
12755,281,2,3811.9500000000003,Japan,1,1,2,4,124
12756,87,1,112.08,Japan,3,2,1,1,211
12757,16,13,7834.650000000001,Portugal,2,4,4,4,444
12758,117,2,2791.59,Portugal,1,2,2,4,224
12759,52,3,1531.44,Netherlands,1,2,3,3,233
12762,8,2,1898.52,Portugal,0,4,2,4,424
12763,138,2,494.08,Japan,3,2,2,2,222
12764,317,1,1693.88,Lebanon,3,1,1,4,114
12766,4,7,6989.63,Portugal,2,4,4,4,444
12769,239,1,1143.6,Brazil,3,1,1,3,113
12770,211,1,1351.45,Japan,3,1,1,3,113
12772,60,1,892.47,Portugal,3,2,1,3,213
12775,17,5,1386.04,Netherlands,1,4,3,3,433
12778,20,6,822.23,Netherlands,1,3,4,3,343
12779,38,8,3981.36,Poland,2,3,4,4,344
12781,64,2,826.74,Czech Republic,1,2,2,3,223
12782,5,5,2330.92,Portugal,2,4,3,4,434
12783,2,6,2225.91,Portugal,2,4,4,4,444
12784,9,2,532.82,Portugal,0,4,2,2,422
12785,364,1,311.95,Portugal,3,1,1,2,112
12787,10,3,463.66,Netherlands,0,4,3,2,432
12789,65,1,91.85,Netherlands,3,2,1,1,211
12790,192,1,324.92,Netherlands,3,1,1,2,112
12791,374,1,192.60000000000002,Netherlands,3,1,1,1,111
12792,257,1,400.54,Portugal,3,1,1,2,112
12793,335,2,545.48,Portugal,3,1,2,2,122
12794,53,2,860.41,Portugal,1,2,2,3,223
12795,19,1,430.48,Portugal,0,3,1,2,312
12797,366,1,254.03,Portugal,3,1,1,1,111
12798,10,3,6977.04,Japan,2,4,3,4,434
12802,187,1,427.58,Netherlands,3,1,1,2,112
12808,37,3,483.65000000000003,Portugal,0,3,3,2,332
12809,178,1,489.31,Portugal,3,1,1,2,112
12811,261,3,514.85,Portugal,3,1,3,2,132
12812,45,1,229.64000000000001,Japan,3,3,1,1,311
12814,102,1,125.92,Poland,3,2,1,1,211
12815,148,2,1063.46,Poland,1,1,2,3,123
12816,96,2,572.2,Poland,3,2,2,2,222
12817,281,1,166.04000000000002,Austria,3,1,1,1,111
12818,262,1,1542.08,Austria,3,1,1,3,113
12820,3,4,942.34,United Kingdom,0,4,3,3,433
12821,214,1,92.72,United Kingdom,3,1,1,1,111
12822,71,2,948.88,United Kingdom,1,2,2,3,223
12823,75,5,1759.5,United Kingdom,1,2,3,4,234
12824,60,1,397.12,United Kingdom,3,2,1,2,212
12826,3,7,1474.72,United Kingdom,2,4,4,3,443
12827,6,3,430.15,United Kingdom,0,4,3,2,432
12828,3,6,1018.71,United Kingdom,2,4,4,3,443
12829,337,2,293.0,United Kingdom,3,1,2,1,121
12830,38,6,6814.64,United Kingdom,2,3,4,4,344
12831,262,1,215.05,United Kingdom,3,1,1,1,111
12832,32,2,383.03000000000003,United Kingdom,0,3,2,2,322
12833,145,1,417.38,United Kingdom,3,1,1,2,112
12834,283,1,312.38,United Kingdom,3,1,1,2,112
12836,59,4,2610.36,United Kingdom,1,2,3,4,234
12837,173,1,134.1,United Kingdom,3,1,1,1,111
12838,34,2,671.95,United Kingdom,0,3,2,3,323
12839,3,14,5591.42,United Kingdom,2,4,4,4,444
12840,144,4,2726.77,United Kingdom,1,1,3,4,134
12841,5,25,3991.58,United Kingdom,2,4,4,4,444
12842,70,2,1118.99,United Kingdom,1,2,2,3,223
12843,66,8,1702.26,United Kingdom,1,2,4,4,244
12844,29,2,325.96000000000004,United Kingdom,0,3,2,2,322
12845,267,4,354.09000000000003,United Kingdom,3,1,3,2,132
12847,22,1,843.64,United Kingdom,0,3,1,3,313
12849,31,2,1010.29,United Kingdom,1,3,2,3,323
12851,97,1,131.81,United Kingdom,3,2,1,1,211
12852,295,1,311.55,United Kingdom,3,1,1,2,112
12853,135,6,1957.1000000000001,United Kingdom,1,2,4,4,244
12854,79,3,1316.25,United Kingdom,1,2,3,3,233
12855,373,1,38.1,United Kingdom,3,1,1,1,111
12856,8,6,2170.78,United Kingdom,2,4,4,4,444
12857,211,2,1106.4,United Kingdom,1,1,2,3,123
12863,52,1,521.2,United Kingdom,3,2,1,2,212
12864,138,1,147.12,United Kingdom,3,2,1,1,211
12865,26,2,1568.23,Austria,1,3,2,3,323
12866,283,1,559.12,Belgium,3,1,1,2,112
12867,26,7,4009.34,United Kingdom,2,3,4,4,344
12868,186,6,1607.0600000000002,United Kingdom,1,1,4,3,143
12871,84,2,380.64,United Kingdom,3,2,2,2,222
12872,327,2,599.97,United Kingdom,3,1,2,2,122
12873,282,1,374.0,United Kingdom,3,1,1,2,112
12875,143,2,343.2300000000001,United Kingdom,3,1,2,2,122
12876,58,2,2218.02,Belgium,1,2,2,4,224
12877,4,12,1535.77,United Kingdom,2,4,4,3,443
12878,236,2,854.99,United Kingdom,3,1,2,3,123
12879,45,3,573.22,United Kingdom,1,3,3,2,332
12881,276,1,298.0,United Kingdom,3,1,1,1,111
12882,9,2,1463.04,United Kingdom,0,4,2,3,423
12883,25,4,703.47,United Kingdom,1,3,3,3,333
12884,88,1,309.05,United Kingdom,3,2,1,2,212
12885,63,3,1175.22,United Kingdom,1,2,3,3,233
12886,68,2,1378.4,United Kingdom,1,2,2,3,223
12888,214,2,354.12,United Kingdom,3,1,2,2,122
12890,24,1,376.71999999999997,United Kingdom,0,3,1,2,312
12891,186,3,331.0,United Kingdom,3,1,3,2,132
12893,31,1,176.55,United Kingdom,0,3,1,1,311
12895,42,2,372.8,United Kingdom,0,3,2,2,322
12897,205,2,216.5,United Kingdom,3,1,2,1,121
12901,9,28,17654.54,United Kingdom,2,4,4,4,444
12902,265,1,138.68,United Kingdom,3,1,1,1,111
12904,18,2,496.06,United Kingdom,0,4,2,2,422
12906,12,5,2919.81,United Kingdom,2,4,3,4,434
12908,176,2,750.0,United Kingdom,3,1,2,3,123
12909,40,5,2178.67,United Kingdom,1,3,3,4,334
12910,23,8,3075.04,United Kingdom,2,3,4,4,344
12912,3,5,1662.3,United Kingdom,2,4,3,4,434
12913,5,5,2483.63,United Kingdom,2,4,3,4,434
12915,149,2,363.65,United Kingdom,3,1,2,2,122
12916,139,4,2944.95,United Kingdom,1,2,3,4,234
12917,128,1,594.0,United Kingdom,3,2,1,2,212
12919,8,6,1335.19,United Kingdom,2,4,4,3,443
12920,17,1,162.78,United Kingdom,0,4,1,1,411
12921,9,37,16587.09,United Kingdom,2,4,4,4,444
12922,161,1,405.38,United Kingdom,3,1,1,2,112
12923,64,1,172.82,United Kingdom,3,2,1,1,211
12924,88,4,933.7,United Kingdom,1,2,3,3,233
12925,5,2,694.05,United Kingdom,0,4,2,3,423
12928,35,5,2062.7,United Kingdom,1,3,4,4,344
12929,312,1,117.85,United Kingdom,3,1,1,1,111
12930,78,2,415.8,United Kingdom,3,2,2,2,222
12931,22,15,42055.96,United Kingdom,2,3,4,4,344
12933,24,3,607.53,United Kingdom,0,3,3,2,332
12935,2,7,2160.7,United Kingdom,2,4,4,4,444
12936,17,4,1063.9,United Kingdom,1,4,3,3,433
12937,15,4,1504.27,United Kingdom,1,4,3,3,433
12938,26,1,114.14,United Kingdom,0,3,1,1,311
12939,64,8,11581.8,United Kingdom,2,2,4,4,244
12940,55,2,899.69,United Kingdom,1,2,2,3,223
12942,131,3,675.6,United Kingdom,1,2,3,3,233
12944,36,2,604.51,United Kingdom,0,3,2,2,322
12945,288,1,462.95,United Kingdom,3,1,1,2,112
12947,144,6,1603.99,United Kingdom,1,1,4,3,143
12948,16,7,2064.95,United Kingdom,2,4,4,4,444
12949,31,8,4167.22,United Kingdom,2,3,4,4,344
12950,2,3,1843.0,United Kingdom,0,4,3,4,434
12951,9,6,1064.07,United Kingdom,2,4,4,3,443
12952,6,4,1387.79,United Kingdom,0,4,3,3,433
12953,10,1,329.85,United Kingdom,0,4,1,2,412
12955,1,11,4757.16,United Kingdom,2,4,4,4,444
12956,306,1,108.07,United Kingdom,3,1,1,1,111
12957,10,8,4017.54,United Kingdom,2,4,4,4,444
12962,7,2,266.39,United Kingdom,0,4,2,1,421
12963,8,8,1856.63,United Kingdom,2,4,4,4,444
12965,89,1,769.8100000000001,United Kingdom,3,2,1,3,213
12966,10,1,160.18,United Kingdom,0,4,1,1,411
12967,358,2,1660.9,United Kingdom,1,1,2,4,124
12968,112,1,135.95,United Kingdom,3,2,1,1,211
12970,7,4,405.47,United Kingdom,0,4,3,2,432
12971,4,86,11189.91,United Kingdom,2,4,4,4,444
12974,198,1,144.8,United Kingdom,3,1,1,1,111
12976,212,1,738.6,United Kingdom,3,1,1,3,113
12977,156,1,39.239999999999995,United Kingdom,3,1,1,1,111
12980,158,9,7374.900000000001,United Kingdom,1,1,4,4,144
12981,30,2,372.21999999999997,United Kingdom,0,3,2,2,322
12982,243,1,390.54,United Kingdom,3,1,1,2,112
12984,19,1,97.5,United Kingdom,0,3,1,1,311
12985,1,2,1239.38,United Kingdom,0,4,2,3,423
12987,74,2,558.7,United Kingdom,3,2,2,2,222
12988,292,1,505.82,United Kingdom,3,1,1,2,112
12989,3,15,6924.11,United Kingdom,2,4,4,4,444
12990,31,3,409.5,United Kingdom,0,3,3,2,332
12991,23,2,503.76,United Kingdom,0,3,2,2,322
12993,23,4,414.76,United Kingdom,0,3,3,2,332
12994,4,3,974.42,United Kingdom,0,4,3,3,433
12995,85,1,211.32,United Kingdom,3,2,1,1,211
12997,22,4,1226.89,United Kingdom,1,3,3,3,333
12999,196,3,455.88,United Kingdom,3,1,3,2,132
13000,107,3,534.85,United Kingdom,1,2,3,2,232
13001,4,13,9785.970000000001,United Kingdom,2,4,4,4,444
13002,318,1,120.95,United Kingdom,3,1,1,1,111
13003,106,3,149.05,United Kingdom,3,2,3,1,231
13004,12,18,5655.91,United Kingdom,2,4,4,4,444
13005,174,2,513.7,United Kingdom,3,1,2,2,122
13006,56,1,81.57,United Kingdom,3,2,1,1,211
13008,323,1,229.47,United Kingdom,3,1,1,1,111
13011,372,1,50.550000000000004,United Kingdom,3,1,1,1,111
13012,9,8,1646.8400000000001,United Kingdom,2,4,4,3,443
13013,1,13,4810.9400000000005,United Kingdom,2,4,4,4,444
13014,11,10,3466.28,United Kingdom,2,4,4,4,444
13015,53,5,3339.64,United Kingdom,1,2,4,4,244
13016,73,3,789.89,United Kingdom,1,2,3,3,233
13017,7,1,204.0,United Kingdom,0,4,1,1,411
13018,16,28,7277.7,United Kingdom,2,4,4,4,444
13021,4,9,2616.38,United Kingdom,2,4,4,4,444
13023,64,2,689.9,United Kingdom,1,2,2,3,223
