StockCode,Description,TotalRevenue,TotalQuantity,UniqueInvoices,UniqueCustomers
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,73.75,25,9,9
20897,VINTAGE NOTEBOOK PARIS DAYS,230.35,85,8,8
20898,VINTAGE NOTEBOOK TRAVELOGUE,73.75,25,4,4
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,19.049999999999997,3,2,2
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,190.35,33,6,6
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,127.0,20,10,10
20906,VINTAGE NOTEBOOK BEAUTY GIRL,8.850000000000001,3,2,2
20910,VINTAGE PHOTO ALBUM PARIS DAYS,50.8,8,3,2
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,16537.13,5871,763,356
20914,SET/5 RED SPOTTY LID GLASS BOWLS,734.4,288,1,1
20931,BLUE POT PLANT CANDLE ,794.45,263,37,35
20932,PINK POT PLANT CANDLE,516.25,189,22,22
20933,YELLOW POT PLANT CANDLE,71.05,23,9,9
20934,SET/3 POT PLANT CANDLES,294.3,54,20,20
20935,ROUND CACTUS CANDLE,17.700000000000003,6,4,4
20936,FORKED CACTUS CANDLE,272.98,92,26,21
20941,FROG CANDLE,76.25,61,17,13
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,913.63,728,59,51
20961,STRAWBERRY BATH SPONGE ,1301.86,1026,127,82
20963,APPLE BATH SPONGE,1397.99,1100,122,83
20964,POLYESTER FILLER PAD 60x40cm,5.1,2,1,1
20966,SANDWICH BATH SPONGE,698.25,589,41,28
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,960.0,256,75,63
20969,RED FLORAL FELTCRAFT SHOULDER BAG,6726.81,1874,257,157
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,3979.88,1080,230,141
20971,PINK BLUE FELT CRAFT TRINKET BOX,11619.39,10217,457,277
20972,PINK CREAM FELT CRAFT TRINKET BOX ,8617.24,7106,535,312
20973,12 PENCIL SMALL TUBE WOODLAND,2545.3,3998,276,191
20974,12 PENCILS SMALL TUBE SKULL,4230.55,6727,291,195
20975,12 PENCILS SMALL TUBE RED RETROSPOT,4096.65,6393,307,231
20977,36 PENCILS TUBE WOODLAND,1969.43,1595,142,111
20978,36 PENCILS TUBE SKULLS,2009.43,1627,179,133
20979,36 PENCILS TUBE RED RETROSPOT,4227.26,3518,230,164
20980,36 PENCILS TUBE POSY,33.75,27,11,10
20981,12 PENCILS TALL TUBE WOODLAND,1571.6499999999999,1849,208,157
20982,12 PENCILS TALL TUBE SKULLS,1705.6599999999999,2014,215,158
20983,12 PENCILS TALL TUBE RED RETROSPOT,2240.31,2643,234,185
20984,12 PENCILS TALL TUBE POSY,1161.1799999999998,3782,167,135
20985,HEART CALCULATOR,1155.88,1013,87,65
20986,BLUE CALCULATOR RULER,543.01,459,58,40
20992,JAZZ HEARTS PURSE NOTEBOOK,1845.87,4339,244,162
20996,JAZZ HEARTS ADDRESS BOOK,648.12,3054,184,124
20997,ROSE DU SUD CUSHION COVER ,74.25,15,5,4
20998,ROSE DU SUD OVEN GLOVE,348.25000000000006,119,28,27
21000,ROSE DU SUD COSMETICS BAG,191.25,45,16,16
21001,ROSE DU SUD WASHBAG ,142.8,24,12,12
21002,ROSE DU SUD DRAWSTRING BAG,55.25,13,5,5
21003,ROSE DU SUD CUSHION COVER,82.55,13,6,6
21011,GLITTER SNOW PEAR TREE DECORATION,26.099999999999998,18,2,2
21012,ANTIQUE ALL GLASS CANDLESTICK,1129.1,565,80,66
21014,SWISS CHALET TREE DECORATION ,455.56999999999994,1233,66,64
21015,DARK BIRD HOUSE TREE DECORATION,377.33,1249,66,59
21018,BIRD BOX CHRISTMAS TREE DECORATION,18.7,22,4,4
21025,SPACE FROG,127.25,100,16,14
21026,SPACE OWL,173.62,140,22,20
21027,NINJA RABBIT PINK,119.95,99,17,16
21028,NINJA RABBIT BLACK,148.29,116,21,15
21030,SPACE CADET RED,141.17,111,21,19
21031,SPACE CADET BLACK,49.96,39,10,9
21032,SPACE CADET WHITE,83.63,64,15,13
21033,JUMBO BAG CHARLIE AND LOLA TOYS,1932.67,921,108,75
21034,REX CASH+CARRY JUMBO SHOPPER,1740.3999999999999,1832,859,480
21035,SET/2 RED RETROSPOT TEA TOWELS ,6807.01,2315,219,151
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,86.75,77,23,20
21039,RED RETROSPOT SHOPPING BAG,1284.66,510,77,57
21040,MODERN VINTAGE COTTON SHOPPING BAG,29.7,22,8,8
21041,RED RETROSPOT OVEN GLOVE DOUBLE,1678.5500000000002,569,138,100
21042,RED RETROSPOT APRON ,1796.9,302,105,71
21043,APRON MODERN VINTAGE COTTON,927.9499999999999,441,57,52
21051,RIBBONS PURSE ,228.83,108,24,23
21054,NURSE'S BAG SOFT TOY,608.5999999999999,68,27,24
21055,TOOL BOX SOFT TOY ,1350.24,144,82,63
21056,DOCTOR'S BAG SOFT TOY,1640.1799999999998,174,66,46
21058,PARTY INVITES WOODLAND,853.2199999999999,1046,87,68
21059,PARTY INVITES DINOSAURS,487.04999999999995,573,77,67
21060,PARTY INVITES BALLOON GIRL,302.59999999999997,356,53,47
21061,PARTY INVITES FOOTBALL,350.2,412,52,49
21062,PARTY INVITES SPACEMAN,425.0,500,61,55
21063,PARTY INVITES JAZZ HEARTS,412.10999999999996,483,81,64
21064,BOOM BOX SPEAKER BOYS,740.15,171,54,40
21065,BOOM BOX SPEAKER GIRLS,827.15,485,40,31
21066,VINTAGE RED MUG,656.37,687,41,32
21067,VINTAGE RED TEATIME MUG,246.88,201,41,30
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1637.71,1535,125,81
21069,VINTAGE BILLBOARD TEA MUG,2047.8000000000002,1867,51,35
21070,VINTAGE BILLBOARD MUG ,1058.54,1032,77,51
21071,VINTAGE BILLBOARD DRINK ME MUG,1020.98,845,107,72
21078,SET/20 STRAWBERRY PAPER NAPKINS ,1972.73,2483,201,148
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,9649.99,12305,732,427
21084,SET/6 COLLAGE PAPER CUPS,463.85,2199,103,90
21086,SET/6 RED SPOTTY PAPER CUPS,3999.09,6573,285,167
21087,SET/6 POSIES PAPER CUPS,62.12,126,10,10
21088,SET/6 FRUIT SALAD PAPER CUPS,345.42,1576,74,67
21089,SET/6 GREEN SPRING PAPER CUPS,45.73,231,24,23
21090,SET/6 COLLAGE PAPER PLATES,704.26,1664,116,98
21094,SET/6 RED SPOTTY PAPER PLATES,5496.53,7351,325,179
21095,SET/6 POSIES PAPER PLATES,80.75,95,9,9
21096,SET/6 FRUIT SALAD  PAPER PLATES,479.25,1143,70,63
21098,CHRISTMAS TOILET ROLL,3665.05,3164,163,115
21100,CHARLIE AND LOLA CHARLOTTE BAG,70.95,43,8,7
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,530.95,193,34,30
21107,CREAM SLICE FLANNEL PINK SPOT ,2209.95,837,62,48
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,17291.57,10070,192,160
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,2082.15,829,64,51
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",47.25,7,4,4
21110,LARGE CAKE TOWEL PINK SPOTS,2288.2999999999997,774,78,62
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1290.3,788,50,46
21112,SWISS ROLL TOWEL PINK  SPOTS,1782.18,666,27,21
21112,"SWISS ROLL TOWEL, PINK  SPOTS",769.65,579,19,18
21114,LAVENDER SCENTED FABRIC HEART,1674.03,1327,128,105
21115,ROSE CARAVAN DOORSTOP,2567.61,519,129,104
21116,OWL DOORSTOP,2339.19,489,117,81
21117,BLOND DOLL DOORSTOP,141.75,109,14,11
21121,SET/10 RED POLKADOT PARTY CANDLES,7794.18,6498,336,238
21122,SET/10 PINK POLKADOT PARTY CANDLES,6346.08,5251,304,214
21123,SET/10 IVORY POLKADOT PARTY CANDLES,1213.31,973,97,66
21124,SET/10 BLUE POLKADOT PARTY CANDLES,4793.34,3966,227,180
21125,SET 6 FOOTBALL CELEBRATION CANDLES,743.75,595,67,59
21126,SET OF 6 GIRLS CELEBRATION CANDLES,604.19,487,67,57
21128,GOLD FISHING GNOME,284.16,47,16,12
21129,SILVER FISHING GNOME ,332.3,45,20,13
21131,GOLD STANDING GNOME,290.25,93,17,11
21132,SILVER STANDING GNOME   ,142.75,35,16,13
21135,VICTORIAN  METAL POSTCARD SPRING,2973.55,2707,162,122
21136,PAINTED METAL PEARS ASSORTED,7454.22,4454,352,259
21137,BLACK RECORD COVER FRAME,39045.8,11401,313,140
21143,ANTIQUE GLASS HEART DECORATION ,575.25,295,26,26
21145,ANTIQUE GLASS PLACE SETTING,152.5,122,8,8
21147,JINGLE BELLS TREE DECORATION,200.94,89,21,11
21154,RED RETROSPOT OVEN GLOVE ,3750.38,3186,262,175
21155,RED RETROSPOT PEG BAG,5874.95,2458,354,205
21156,RETROSPOT CHILDRENS APRON,5585.92,3038,292,202
21157,RED RETROSPOT WASHBAG,100.80000000000001,48,14,12
21158,MOODY GIRL DOOR HANGER ,684.9599999999999,1422,146,103
21159,MOODY BOY  DOOR HANGER ,542.36,1108,108,73
21161,KEEP OUT BOYS DOOR HANGER ,188.5,130,34,25
21162,TOXIC AREA  DOOR HANGER ,695.23,1413,137,98
21163,DO NOT TOUCH MY STUFF DOOR HANGER ,599.79,1171,110,86
21164,HOME SWEET HOME METAL SIGN ,4844.72,1712,246,166
21165,BEWARE OF THE CAT METAL SIGN ,6401.93,4025,359,178
21166,COOK WITH WINE METAL SIGN ,20232.13,10169,602,287
21167,WHITE SAGE INCENSE,264.6,1260,25,20
21169,YOU'RE CONFUSING ME METAL SIGN ,6743.9800000000005,4270,342,191
21171,BATHROOM METAL SIGN ,566.8,424,60,43
21172,PARTY METAL SIGN ,4701.0199999999995,3330,371,236
21174,POTTERING IN THE SHED METAL SIGN,8364.640000000001,3922,371,225
21175,GIN + TONIC DIET METAL SIGN,24944.88,11501,655,330
21175,GIN AND TONIC DIET METAL SIGN,1118.46,474,37,34
21179,NO JUNK MAIL METAL SIGN,1019.5899999999999,1783,166,122
21181,PLEASE ONE PERSON METAL SIGN,23865.820000000003,11932,694,361
21187,WHITE BELL HONEYCOMB PAPER GARLAND ,522.0,328,33,30
